%time,field.data
1557305784560434109,0.2
1557305784568747252,0.2
1557305784580709877,0.2
1557305784588895937,0.2
1557305784601155410,0.2
1557305784609495830,0.2
1557305784622054711,0.2
1557305784630129215,0.2
1557305784638134276,0.2
1557305784650372152,0.2
1557305784658758085,0.2
1557305784670899929,0.2
1557305784679114471,0.2
1557305784691472248,0.2
1557305784699736006,0.2
1557305784711761558,0.2
1557305784720003775,0.2
1557305784728271772,0.4
1557305784740624372,0.4
1557305784748902505,0.4
1557305784761078029,0.4
1557305784769280307,0.4
1557305784781679555,0.4
1557305784789707992,0.4
1557305784801908688,0.4
1557305784810380479,0.4
1557305784818566534,0.4
1557305784830669554,0.4
1557305784838895704,0.4
1557305784851004238,0.4
1557305784859322618,0.4
1557305784871552632,0.4
1557305784879964600,0.4
1557305784887963879,0.4
1557305784900459428,0.4
1557305784908641507,0.4
1557305784920670596,0.4
1557305784928742677,0.6
1557305784941455591,0.6
1557305784949389110,0.6
1557305784961622628,0.6
1557305784969914107,0.6
1557305784978453446,0.6
1557305784990453030,0.6
1557305784998530647,0.6
1557305785011004473,0.6
1557305785018979206,0.6
1557305785031344489,0.6
1557305785039549164,0.6
1557305785051800219,0.6
1557305785060503454,0.6
1557305785068040831,0.6
1557305785080483587,0.6
1557305785088686582,0.6
1557305785100853561,0.6
1557305785109095738,0.6
1557305785121443166,0.6
1557305785129641849,0.6
1557305785141919587,0.6
1557305785150322449,0.6
1557305785158404559,0.6
1557305785170805416,0.6
1557305785178794620,0.6
1557305785190998152,0.6
1557305785199156442,0.6
1557305785211666669,0.6
1557305785219571349,0.6
1557305785228055888,0.6
1557305785240551771,0.6
1557305785248635568,0.6
1557305785260911091,0.6
1557305785269014072,0.6
1557305785281446705,0.6
1557305785289328214,0.6
1557305785301623413,0.6
1557305785309745965,0.6
1557305785318013614,0.6
1557305785330542208,0.8
1557305785338722015,0.8
1557305785350842514,0.8
1557305785359409351,0.8
1557305785371490426,0.8
1557305785379364445,0.8
1557305785391813353,0.8
1557305785399813026,0.8
1557305785408099946,0.8
1557305785420699452,0.8
1557305785428750543,0.8
1557305785441013972,0.8
1557305785449056115,0.8
1557305785461507543,0.8
1557305785469651884,0.8
1557305785481860792,0.8
1557305785490076161,0.8
1557305785498210772,0.8
1557305785510488203,0.8
1557305785518815326,0.8
1557305785530992221,1.0
1557305785539759422,1.0
1557305785551585112,1.0
1557305785559716089,1.0
1557305785572029074,1.0
1557305785580397060,1.0
1557305785588363954,1.0
1557305785600556796,1.0
1557305785608810612,1.0
1557305785621110152,1.0
1557305785629270100,0.8
1557305785641722391,0.8
1557305785650133890,0.8
1557305785658103044,0.8
1557305785670470369,0.8
1557305785678384059,0.8
1557305785690626849,0.8
1557305785698973828,0.8
1557305785711124685,0.8
1557305785719399035,0.8
1557305785731737064,1.0
1557305785740040936,1.0
1557305785748087340,1.0
1557305785760617104,1.0
1557305785768634591,1.0
1557305785780883270,1.0
1557305785789388335,1.0
1557305785801376262,1.0
1557305785809612965,1.0
1557305785821961350,1.0
1557305785830314082,1.2
1557305785838269751,1.2
1557305785850617204,1.2
1557305785858877233,1.2
1557305785871118822,1.2
1557305785880060650,1.2
1557305785891548196,1.2
1557305785899736732,1.2
1557305785911877940,1.2
1557305785920143599,1.2
1557305785928797290,1.0
1557305785940863583,1.0
1557305785948920221,1.0
1557305785960921621,1.0
1557305785969360447,1.0
1557305785981842725,1.0
1557305785989782963,1.0
1557305785998289725,1.0
1557305786010251261,1.0
1557305786018342639,1.0
1557305786031069178,1.0
1557305786039011127,1.0
1557305786051144961,1.0
1557305786059568194,1.0
1557305786071638676,1.0
1557305786080001244,1.0
1557305786088151351,1.0
1557305786100458139,1.0
1557305786108583628,1.0
1557305786120887530,1.0
1557305786129112831,1.2
1557305786141600236,1.2
1557305786149629944,1.2
1557305786161794415,1.2
1557305786170073869,1.2
1557305786178186120,1.2
1557305786190466743,1.2
1557305786198623399,1.2
1557305786211084726,1.2
1557305786219288740,1.2
1557305786231491382,1.2
1557305786239743273,1.2
1557305786251823452,1.2
1557305786260248112,1.2
1557305786268480194,1.2
1557305786280735898,1.2
1557305786288674002,1.2
1557305786300957319,1.2
1557305786309286764,1.2
1557305786321374065,1.2
1557305786329776569,1.2
1557305786338064484,1.2
1557305786350626777,1.2
1557305786358610934,1.2
1557305786370958909,1.2
1557305786378773676,1.2
1557305786391289717,1.2
1557305786399626866,1.2
1557305786411878048,1.2
1557305786420128213,1.2
1557305786428210739,1.2
1557305786440472982,1.2
1557305786448569813,1.2
1557305786461004378,1.2
1557305786469272316,1.2
1557305786481216609,1.2
1557305786489526608,1.2
1557305786501739328,1.2
1557305786510258082,1.2
1557305786518201491,1.2
1557305786530622178,1.2
1557305786538817745,1.2
1557305786551064843,1.2
1557305786559270711,1.2
1557305786571445607,1.2
1557305786580005478,1.2
1557305786591802870,1.2
1557305786600128743,1.2
1557305786608355324,1.2
1557305786620587917,1.2
1557305786628794034,1.2
1557305786641091707,1.2
1557305786649426158,1.2
1557305786661741096,1.2
1557305786669798408,1.2
1557305786681962107,1.2
1557305786690199602,1.2
1557305786698291115,1.2
1557305786711175621,1.2
1557305786718959192,1.2
1557305786731144914,1.2
1557305786739421150,1.2
1557305786751784528,1.2
1557305786759933153,1.2
1557305786768288173,1.2
1557305786780477910,1.2
1557305786788626696,1.2
1557305786800941211,1.2
1557305786809091632,1.2
1557305786821363967,1.2
1557305786829514215,1.4
1557305786841918562,1.4
1557305786849964439,1.4
1557305786858353455,1.4
1557305786870611496,1.4
1557305786878619349,1.4
1557305786890895114,1.4
1557305786899046472,1.4
1557305786911231356,1.4
1557305786919557869,1.4
1557305786931844407,1.4
1557305786940091840,1.4
1557305786948200744,1.4
1557305786960971735,1.4
1557305786968618882,1.4
1557305786981144530,1.4
1557305786989139327,1.4
1557305787001574106,1.4
1557305787009873722,1.4
1557305787021889725,1.4
1557305787030306186,1.2
1557305787038315437,1.2
1557305787050832320,1.2
1557305787059058308,1.2
1557305787071265979,1.2
1557305787079490682,1.2
1557305787091485428,1.2
1557305787099765279,1.2
1557305787108257207,1.2
1557305787120563947,1.2
1557305787128529387,1.6
1557305787140884915,1.6
1557305787148928527,1.6
1557305787161371623,1.6
1557305787169510365,1.6
1557305787181654260,1.6
1557305787189917370,1.6
1557305787198131545,1.6
1557305787210285859,1.6
1557305787218719840,1.6
1557305787230928976,1.4
1557305787239119446,1.4
1557305787251430070,1.4
1557305787259776534,1.4
1557305787271694070,1.4
1557305787280104320,1.4
1557305787288224960,1.4
1557305787300493105,1.4
1557305787308730184,1.4
1557305787321163045,1.4
1557305787329347236,1.4
1557305787341638274,1.4
1557305787349873644,1.4
1557305787361891096,1.4
1557305787370157007,1.4
1557305787378660735,1.4
1557305787390534176,1.4
1557305787398728080,1.4
1557305787411144697,1.4
1557305787419416383,1.4
1557305787431562826,1.6
1557305787439950326,1.6
1557305787448278175,1.6
1557305787460701276,1.6
1557305787468611211,1.6
1557305787480744907,1.6
1557305787488850203,1.6
1557305787501054975,1.6
1557305787509478560,1.6
1557305787521911953,1.6
1557305787530077508,1.4
1557305787538153888,1.4
1557305787550465194,1.4
1557305787558677711,1.4
1557305787570954813,1.4
1557305787579285868,1.4
1557305787591184915,1.4
1557305787599495415,1.4
1557305787611748182,1.4
1557305787619913563,1.4
1557305787628496127,1.6
1557305787640409935,1.6
1557305787648506084,1.6
1557305787661070124,1.6
1557305787669459929,1.6
1557305787681597687,1.6
1557305787689657508,1.6
1557305787701774462,1.6
1557305787710253121,1.6
1557305787718318181,1.6
1557305787730739934,1.6
1557305787738811270,1.6
1557305787751142933,1.6
1557305787759307028,1.6
1557305787771549096,1.6
1557305787779635910,1.6
1557305787791951381,1.6
1557305787800221749,1.6
1557305787808418331,1.6
1557305787820640974,1.6
1557305787829163248,1.4
1557305787841394887,1.4
1557305787849429532,1.4
1557305787861880512,1.4
1557305787870136300,1.4
1557305787878067401,1.4
1557305787890345622,1.4
1557305787898435664,1.4
1557305787910809250,1.4
1557305787919163024,1.4
1557305787931224784,1.8
1557305787939384406,1.8
1557305787951718297,1.8
1557305787959910395,1.8
1557305787968040671,1.8
1557305787980338225,1.8
1557305787988623833,1.8
1557305788000937427,1.8
1557305788009262765,1.8
1557305788021253182,1.8
1557305788029786338,1.6
1557305788041798044,1.6
1557305788050206441,1.6
1557305788058227280,1.6
1557305788070741317,1.6
1557305788078797502,1.6
1557305788090828598,1.6
1557305788099130879,1.6
1557305788111351354,1.6
1557305788119710300,1.6
1557305788131756943,1.6
1557305788140113473,1.6
1557305788148548963,1.6
1557305788160528993,1.6
1557305788168970642,1.6
1557305788181098972,1.6
1557305788189142697,1.6
1557305788201643841,1.6
1557305788209749826,1.6
1557305788218036687,1.6
1557305788230425441,1.8
1557305788238487949,1.8
1557305788250808862,1.8
1557305788258977475,1.8
1557305788271136718,1.8
1557305788279257436,1.8
1557305788291571759,1.8
1557305788299779172,1.8
1557305788308095574,1.8
1557305788320527142,1.8
1557305788328503003,1.6
1557305788340937653,1.6
1557305788349129452,1.6
1557305788361337931,1.6
1557305788369472998,1.6
1557305788381708769,1.6
1557305788390010693,1.6
1557305788398169344,1.6
1557305788410623858,1.6
1557305788418664744,1.6
1557305788431065452,1.8
1557305788439268361,1.8
1557305788451411441,1.8
1557305788459547726,1.8
1557305788471907632,1.8
1557305788480218657,1.8
1557305788488187639,1.8
1557305788500629167,1.8
1557305788508866915,1.8
1557305788521087955,1.8
1557305788529403790,1.8
1557305788541543115,1.8
1557305788549569126,1.8
1557305788558016612,1.8
1557305788570313790,1.8
1557305788578629946,1.8
1557305788590865468,1.8
1557305788598934542,1.8
1557305788611365818,1.8
1557305788619304542,1.8
1557305788631673044,1.8
1557305788640324414,1.8
1557305788648259671,1.8
1557305788660494547,1.8
1557305788668804713,1.8
1557305788680794249,1.8
1557305788689128979,1.8
1557305788701158517,1.8
1557305788709619294,1.8
1557305788722141462,1.8
1557305788730024123,1.8
1557305788738139994,1.8
1557305788750681439,1.8
1557305788758582687,1.8
1557305788770881314,1.8
1557305788779163829,1.8
1557305788791342810,1.8
1557305788799677549,1.8
1557305788811983680,1.8
1557305788820039078,1.8
1557305788828520702,1.8
1557305788840729537,1.8
1557305788848783622,1.8
1557305788861068123,1.8
1557305788869406808,1.8
1557305788881723214,1.8
1557305788889618690,1.8
1557305788901883579,1.8
1557305788910072944,1.8
1557305788918241855,1.8
1557305788930805701,1.8
1557305788939046379,1.8
1557305788951209079,1.8
1557305788959461156,1.8
1557305788971498618,1.8
1557305788979689827,1.8
1557305788988291419,1.8
1557305789000326770,1.8
1557305789008576698,1.8
1557305789021083474,1.8
1557305789029057584,2.0
1557305789041443023,2.0
1557305789049604435,2.0
1557305789061562160,2.0
1557305789070209025,2.0
1557305789078000565,2.0
1557305789090349203,2.0
1557305789098544490,2.0
1557305789110851213,2.0
1557305789119210294,2.0
1557305789131367484,1.8
1557305789139599838,1.8
1557305789151836489,1.8
1557305789160054681,1.8
1557305789168394298,1.8
1557305789180645378,1.8
1557305789188639016,1.8
1557305789200976209,1.8
1557305789209417171,1.8
1557305789221353638,1.8
1557305789229674436,2.0
1557305789241840682,2.0
1557305789250096777,2.0
1557305789258247844,2.0
1557305789270796486,2.0
1557305789278858206,2.0
1557305789291064907,2.0
1557305789299316371,2.0
1557305789311741101,2.0
1557305789319826043,2.0
1557305789328087210,1.8
1557305789340339946,1.8
1557305789348500428,1.8
1557305789360915925,1.8
1557305789369161525,1.8
1557305789381093024,1.8
1557305789389512288,1.8
1557305789401861738,1.8
1557305789409898869,1.8
1557305789418057101,1.8
1557305789430401231,2.0
1557305789438635198,2.0
1557305789450914327,2.0
1557305789459066683,2.0
1557305789471664298,2.0
1557305789479619762,2.0
1557305789491685301,2.0
1557305789499936549,2.0
1557305789508332752,2.0
1557305789520490077,2.0
1557305789528607409,2.0
1557305789541015685,2.0
1557305789549322760,2.0
1557305789561463065,2.0
1557305789569627597,2.0
1557305789581754672,2.0
1557305789590196183,2.0
1557305789598354080,2.0
1557305789610831380,2.0
1557305789618932404,2.0
1557305789631500521,1.8
1557305789639500763,1.8
1557305789651522854,1.8
1557305789659998972,1.8
1557305789672145223,1.8
1557305789680153477,1.8
1557305789688436814,1.8
1557305789700843448,1.8
1557305789709018764,1.8
1557305789721326956,1.8
1557305789729514031,2.0
1557305789741655479,2.0
1557305789750030564,2.0
1557305789758396268,2.0
1557305789770352751,2.0
1557305789778535267,2.0
1557305789790926826,2.0
1557305789799118148,2.0
1557305789811370111,2.0
1557305789819578196,2.0
1557305789831767160,2.0
1557305789840141250,2.0
1557305789848309807,2.0
1557305789860520781,2.0
1557305789868638386,2.0
1557305789881200226,2.0
1557305789889134208,2.0
1557305789901297925,2.0
1557305789909739790,2.0
1557305789921692609,2.0
1557305789930043759,2.0
1557305789938395355,2.0
1557305789950845675,2.0
1557305789958931656,2.0
1557305789971328747,2.0
1557305789979431162,2.0
1557305789991521501,2.0
1557305790000061241,2.0
1557305790011882451,2.0
1557305790020330796,2.0
1557305790028834745,2.0
1557305790040846425,2.0
1557305790048829972,2.0
1557305790061667131,2.0
1557305790069331085,2.0
1557305790081533733,2.0
1557305790089899946,2.0
1557305790098165897,2.0
1557305790110307429,2.0
1557305790118716827,2.0
1557305790130978281,2.0
1557305790139095773,2.0
1557305790153860591,2.0
1557305790159498697,2.0
1557305790171704946,2.0
1557305790179910497,2.0
1557305790188236414,2.0
1557305790200506257,2.0
1557305790208856364,2.0
1557305790221281371,2.0
1557305790229498074,2.21
1557305790241444366,2.21
1557305790249781337,2.21
1557305790261764325,2.21
1557305790270089836,2.21
1557305790278418301,2.21
1557305790290667862,2.21
1557305790298725373,2.21
1557305790311346565,2.21
1557305790319497414,2.21
1557305790331623123,2.0
1557305790339970130,2.0
1557305790352084630,2.0
1557305790360467146,2.0
1557305790368620349,2.0
1557305790380551062,2.0
1557305790388897783,2.0
1557305790401281009,2.0
1557305790409439457,2.0
1557305790421586936,2.0
1557305790430061227,2.0
1557305790438119926,2.0
1557305790450348400,2.0
1557305790458687021,2.0
1557305790471137502,2.0
1557305790479005972,2.0
1557305790491378891,2.0
1557305790499497048,2.0
1557305790511653737,2.0
1557305790520091467,2.0
1557305790528382889,2.21
1557305790540564504,2.21
1557305790548620565,2.21
1557305790561174533,2.21
1557305790568995285,2.21
1557305790581557894,2.21
1557305790589488343,2.21
1557305790601721620,2.21
1557305790610062740,2.21
1557305790618298053,2.21
1557305790630835246,2.0
1557305790638874782,2.0
1557305790651273125,2.0
1557305790659246350,2.0
1557305790671737754,2.0
1557305790679726533,2.0
1557305790691776993,2.0
1557305790700218485,2.0
1557305790708661972,2.0
1557305790720836544,2.0
1557305790729003590,2.21
1557305790741259128,2.21
1557305790749423421,2.21
1557305790761658099,2.21
1557305790769891311,2.21
